0,1,2,3,4,5,6
1,1,0.9,0.9,0.998,1,1
0.85,0.6,0.7,0.8,0.897,1,1
0.85,0.6,0.7,1,0.839,0,-1
0.883,0.4,0.8,0.7,0.831,0,-1
0.808,0.4,0.6,0.6,0.794,1,-1
0.816,0.2,0.4,0.6,0.809,1,-1
0.975,1,0.8,0.9,0.914,1,1
0.941,0.8,0.8,0.5,0.884,1,1
0.883,0.6,0.7,0.5,0.827,1,1
0.941,0.8,0.9,0.9,0.932,1,1
0.841,0.4,0.5,0.6,0.868,0,-1
0.8,0.2,0.6,0.8,0.762,0,-1
0.908,0.6,0.8,0.6,0.806,1,-1
0.925,0.6,0.6,0.7,0.877,0,-1
0.825,0.8,0.7,0.9,0.88,1,-1
0.833,0.4,0.6,0.7,0.812,1,-1
0.966,1,1,1,0.957,1,1
0.808,0.4,0.4,0.8,0.786,1,-1
0.85,0.6,0.7,0.8,0.908,1,1
0.875,0.4,0.5,0.9,0.818,1,-1
0.925,0.8,0.8,0.9,0.907,1,1
0.941,0.4,0.4,0.5,0.87,1,1
0.95,0.8,0.6,0.4,0.846,0,-1
0.883,0.8,0.8,0.9,0.882,1,1
0.825,0.4,0.5,0.5,0.809,0,-1
0.983,1,0.9,0.7,0.951,1,1
0.85,0.4,0.4,0.5,0.824,0,-1
0.916,0.6,0.8,1,0.87,1,1
0.975,0.8,0.7,0.9,0.953,1,1
0.866,0.4,0.4,0.5,0.832,0,-1
0.966,0.8,0.8,0.9,0.955,1,1
0.85,0.6,0.4,0.6,0.745,0,-1
0.916,0.6,0.7,0.8,0.894,1,1
0.858,0.8,0.8,1,0.849,0,1
0.9,0.6,0.7,0.6,0.866,0,-1
0.916,0.6,0.7,1,0.892,1,1
0.866,0.6,0.7,0.8,0.818,1,-1
0.833,0.2,0.3,0.4,0.796,0,-1
0.933,0.6,0.6,0.7,0.871,0,-1
0.916,0.8,1,0.8,0.921,1,1
0.966,0.8,0.8,0.7,0.93,1,1
0.85,0.6,0.7,0.6,0.856,0,-1
0.841,0.4,0.6,0.8,0.796,0,-1
